node1	node2
ADAM10	PSEN1
ADAM10	BACE1
ADAM10	APP
ADAM10	ADAM17
ADAM17	ADAM10
ADAM17	TNF
ADRM1	PSMA4
ADRM1	PSMC4
ADRM1	PSMD8
ADRM1	PSMA3
ADRM1	PSMD7
ADRM1	PSMA2
ADRM1	PSMB7
ADRM1	PSMC1
ADRM1	PSMA6
ADRM1	PSMD11
ADRM1	PSMB1
ADRM1	PSMD3
ADRM1	PSMB6
ADRM1	PSMA5
ADRM1	PSMB4
ADRM1	PSMD1
ADRM1	PSMD2
ADRM1	PSMC5
ADRM1	PSMD12
ADRM1	PSMB5
ADRM1	PSMD4
ADRM1	PSMA7
ADRM1	PSMB2
ADRM1	PSMD14
ADRM1	PSMC2
ADRM1	PSMA1
ADRM1	PSMB3
ADRM1	PSMC3
ADRM1	PSMC6
AGER	KRAS
AGER	NOX4
AGER	NRAS
AGER	NOX1
AGER	HRAS
AGER	CYBB
AKT1	MAPK1
AKT1	PIK3R2
AKT1	KRAS
AKT1	AXIN1
AKT1	PIK3R3
AKT1	MAPK3
AKT1	PIK3CA
AKT1	IRS1
AKT1	ITPR1
AKT1	CASP3
AKT1	GSK3B
AKT1	NOS2
AKT1	CASP9
AKT1	MAP3K5
AKT1	MTOR
AKT1	BECN1
AKT1	CHUK
AKT1	NOX1
AKT1	ITPR3
AKT1	PIK3CD
AKT1	CYBB
AKT1	AKT2
AKT1	BAD
AKT1	GAPDH
AKT1	INS
AKT1	TNF
AKT1	RAF1
AKT1	PIK3R1
AKT1	IKBKB
AKT1	NOS1
AKT1	AKT3
AKT1	CTNNB1
AKT1	PIK3CB
AKT2	MAPK1
AKT2	PIK3R2
AKT2	PIK3R3
AKT2	MAPK3
AKT2	PIK3CA
AKT2	GSK3B
AKT2	NOS2
AKT2	CASP9
AKT2	MAP3K5
AKT2	MTOR
AKT2	CHUK
AKT2	PIK3CD
AKT2	NOS1
AKT2	BAD
AKT2	RAF1
AKT2	IKBKB
AKT2	AKT3
AKT2	PIK3R1
AKT2	PIK3CB
AKT2	AKT1
AKT3	MAPK1
AKT3	PIK3R2
AKT3	PIK3R3
AKT3	MAPK3
AKT3	PIK3CA
AKT3	GSK3B
AKT3	NOS2
AKT3	CASP9
AKT3	MAP3K5
AKT3	MTOR
AKT3	CHUK
AKT3	PIK3CD
AKT3	AKT2
AKT3	BAD
AKT3	RAF1
AKT3	PIK3R1
AKT3	IKBKB
AKT3	AKT1
AKT3	NOS1
AKT3	PIK3CB
APAF1	CYCS
APAF1	CASP3
APAF1	CASP9
APAF1	CASP8
APAF1	CASP7
APBB1	LRP1
APBB1	APP
APBB1	MAPK8
APC	DVL2
APC	CSNK1A1L
APC	LRP5
APC	APC2
APC	DVL3
APC	DVL1
APC	GSK3B
APC	AXIN1
APC	CTNNB1
APC	AXIN2
APC2	DVL2
APC2	APC
APC2	AXIN1
APC2	AXIN2
APC2	DVL3
