node1	node2
AKT1	MAPK1
AKT1	PIK3R2
AKT1	CCND1
AKT1	KRAS
AKT1	MDM2
AKT1	CDH1
AKT1	PIK3R3
AKT1	MAPK3
AKT1	PIK3CA
AKT1	FGF2
AKT1	EGF
AKT1	TP53
AKT1	PTEN
AKT1	PIK3CD
AKT1	AKT2
AKT1	IGF1
AKT1	BAD
AKT1	CDKN1A
AKT1	RAF1
AKT1	PIK3R1
AKT1	AKT3
AKT1	PIK3CB
AKT2	MAPK1
AKT2	PIK3R2
AKT2	MDM2
AKT2	PIK3R3
AKT2	MAPK3
AKT2	PIK3CA
AKT2	TP53
AKT2	PIK3CD
AKT2	BAD
AKT2	RAF1
AKT2	CDKN1A
AKT2	AKT3
AKT2	PIK3R1
AKT2	PIK3CB
AKT2	AKT1
AKT3	MAPK1
AKT3	PIK3R2
AKT3	MDM2
AKT3	PIK3R3
AKT3	MAPK3
AKT3	PIK3CA
AKT3	TP53
AKT3	PIK3CD
AKT3	AKT2
AKT3	BAD
AKT3	CDKN1A
AKT3	RAF1
AKT3	PIK3R1
AKT3	AKT1
AKT3	PIK3CB
ARAF	KRAS
ARAF	MAP2K2
ARAF	MAP2K1
ARAF	NRAS
ARAF	RAF1
ARAF	HRAS
ARAF	BRAF
BAD	MAPK1
BAD	MAPK3
BAD	MAP2K1
BAD	AKT2
BAD	AKT3
BAD	RAF1
BAD	AKT1
BAK1	TP53
BAK1	BAX
BAX	TP53
BAX	BAK1
BRAF	MAPK1
BRAF	KRAS
BRAF	MAP2K2
BRAF	MAPK3
BRAF	PIK3CA
BRAF	ARAF
BRAF	MAP2K1
BRAF	NRAS
BRAF	PTEN
BRAF	RAF1
BRAF	HRAS
CCND1	AKT1
CCND1	MDM2
CCND1	E2F1
CCND1	TP53
CCND1	RB1
CCND1	CDKN2A
CCND1	CDK4
CCND1	CDK6
CCND1	CDKN1A
CDH1	MDM2
CDH1	AKT1
CDH1	PTEN
CDH1	MET
CDH1	EGFR
CDK4	CCND1
CDK4	E2F1
CDK4	TP53
CDK4	RB1
CDK4	CDKN2A
