From	To	Neuropil	Synapses	Neuro Transmitter
720575940643315748	720575940632777320	IPS_R	160	GABA
720575940643315748	720575940632777320	GNG	34	GABA
720575940644791918	720575940632777320	SPS_R	39	ACH
720575940644791918	720575940632777320	AVLP_R	20	ACH
720575940644791918	720575940632777320	IPS_R	57	ACH
720575940644791918	720575940632777320	WED_R	25	ACH
720575940644791918	720575940632777320	LAL_R	25	ACH
720575940631698340	720575940632777320	PLP_R	2	GABA
720575940631698340	720575940632777320	AVLP_R	36	GABA
720575940631698340	720575940632777320	SPS_R	42	GABA
720575940631698340	720575940632777320	ICL_R	10	GABA
720575940631698340	720575940632777320	GOR_R	6	GABA
720575940631698340	720575940632777320	IB_R	5	ACH
720575940631698340	720575940632777320	PVLP_R	30	GABA
720575940624163303	720575940632777320	SPS_R	48	GABA
720575940624163303	720575940632777320	CAN_R	10	GABA
720575940624163303	720575940632777320	GNG	15	GABA
720575940624163303	720575940632777320	IPS_R	36	GABA
720575940624163303	720575940632777320	PLP_R	1	GABA
720575940624163303	720575940632777320	PVLP_R	2	GABA
720575940624163303	720575940632777320	IB_R	2	GABA
720575940624163303	720575940632777320	SPS_L	8	GLUT
720575940631335491	720575940632777320	GNG	3	ACH
720575940631335491	720575940632777320	IPS_R	115	ACH
720575940655842465	720575940632777320	SPS_R	33	ACH
720575940655842465	720575940632777320	LAL_R	5	ACH
720575940655842465	720575940632777320	IPS_R	46	ACH
720575940655842465	720575940632777320	WED_R	1	ACH
720575940655842465	720575940632777320	SPS_L	3	ACH
720575940655842465	720575940632777320	GNG	13	ACH
720575940629780858	720575940632777320	IPS_R	2	ACH
720575940629780858	720575940632777320	GOR_R	2	ACH
720575940629780858	720575940632777320	CAN_R	11	ACH
720575940629780858	720575940632777320	SPS_R	52	ACH
720575940629780858	720575940632777320	IB_R	8	ACH
720575940629780858	720575940632777320	ICL_R	3	ACH
720575940629780858	720575940632777320	PLP_R	1	ACH
720575940629780858	720575940632777320	SPS_L	4	ACH
720575940630847196	720575940632777320	LAL_R	1	ACH
720575940630847196	720575940632777320	IPS_R	42	ACH
720575940630847196	720575940632777320	GNG	6	ACH
720575940630847196	720575940632777320	SPS_R	33	ACH
720575940627360772	720575940632777320	GNG	12	GLUT
720575940627360772	720575940632777320	IPS_R	57	GLUT
720575940642752292	720575940632777320	SPS_R	54	GLUT
720575940642752292	720575940632777320	GOR_R	5	GLUT
720575940642752292	720575940632777320	IB_R	7	GLUT
720575940619625837	720575940632777320	PVLP_R	3	GLUT
720575940619625837	720575940632777320	PLP_R	1	GLUT
720575940619625837	720575940632777320	IPS_R	1	GLUT
720575940619625837	720575940632777320	GNG	1	GLUT
720575940619625837	720575940632777320	SPS_R	48	GLUT
720575940619625837	720575940632777320	IB_R	2	GLUT
720575940619625837	720575940632777320	SPS_L	1	GABA
720575940619625837	720575940632777320	CAN_R	6	GLUT
720575940619625837	720575940632777320	GOR_R	3	GABA
720575940623243402	720575940632777320	IPS_R	64	GABA
720575940630311383	720575940632777320	PLP_R	5	ACH
720575940630311383	720575940632777320	EPA_R	1	ACH
720575940630311383	720575940632777320	SPS_R	20	ACH
720575940630311383	720575940632777320	AVLP_R	3	ACH
720575940630311383	720575940632777320	GNG	11	ACH
720575940630311383	720575940632777320	PVLP_R	5	ACH
720575940630311383	720575940632777320	IPS_R	14	ACH
720575940630311383	720575940632777320	CAN_R	2	ACH
720575940630311383	720575940632777320	VES_R	1	ACH
720575940628348265	720575940632777320	GOR_R	2	ACH
720575940628348265	720575940632777320	PVLP_R	13	ACH
720575940628348265	720575940632777320	AVLP_R	27	ACH
720575940628348265	720575940632777320	LAL_R	1	ACH
720575940628348265	720575940632777320	ICL_R	2	ACH
720575940628348265	720575940632777320	PLP_R	4	ACH
720575940628348265	720575940632777320	SPS_R	12	ACH
720575940622302844	720575940632777320	IPS_R	54	GLUT
720575940622302844	720575940632777320	GNG	3	GLUT
720575940622695916	720575940632777320	SPS_R	34	GLUT
720575940622695916	720575940632777320	CAN_R	2	GLUT
720575940622695916	720575940632777320	ICL_R	9	GLUT
720575940622695916	720575940632777320	GOR_R	11	GLUT
720575940628083959	720575940632777320	GNG	2	GABA
720575940628083959	720575940632777320	IPS_R	53	GLUT
720575940610549060	720575940632777320	CAN_R	3	GLUT
720575940610549060	720575940632777320	IPS_R	1	GLUT
720575940610549060	720575940632777320	GOR_R	1	GLUT
720575940610549060	720575940632777320	IB_R	1	GLUT
720575940610549060	720575940632777320	SPS_R	45	GLUT
720575940610549060	720575940632777320	SPS_L	1	GLUT
720575940638573171	720575940632777320	IPS_R	40	GLUT
720575940638573171	720575940632777320	GNG	9	GLUT
720575940619636615	720575940632777320	GNG	1	ACH
720575940619636615	720575940632777320	IPS_R	48	ACH
720575940615723314	720575940632777320	AVLP_R	15	ACH
720575940615723314	720575940632777320	GOR_R	2	ACH
720575940615723314	720575940632777320	PVLP_R	6	ACH
720575940615723314	720575940632777320	PLP_R	5	ACH
720575940615723314	720575940632777320	SPS_R	7	ACH
720575940615723314	720575940632777320	ICL_R	11	ACH
720575940639123544	720575940632777320	GNG	45	ACH
720575940628613223	720575940632777320	ICL_R	3	ACH
720575940628613223	720575940632777320	SPS_R	27	ACH
720575940628613223	720575940632777320	CAN_R	1	ACH
720575940628613223	720575940632777320	GOR_R	2	ACH
720575940628613223	720575940632777320	SPS_L	11	ACH
720575940625450084	720575940632777320	GNG	7	GLUT
720575940625450084	720575940632777320	IPS_R	37	GLUT
